1,N,N,N
2,N,N,N
3,N,N,N
4,N,N,N
5,N,N,N
6,N,N,N
7,N,N,N
8,N,N,N
9,N,N,N
10,N,N,N
11,N,N,N
12,N,N,N
13,N,N,n
14,N,N,N
15,N,N,n
16,N,N,N
17,N,N,N
18,S,S,s
19,N,N,N
20,N,N,N
21,N,N,N
22,N,N,N
23,N,N,N
24,N,N,N
25,N,N,N
26,N,N,N
27,N,N,N
28,N,N,N
29,N,N,N
30,N,N,N
31,N,N,N
32,N,N,N
33,N,N,N
34,N,N,N
35,N,N,N
36,N,N,N
37,N,N,N
38,N,N,N
39,N,N,N
40,N,N,N
41,N,N,N
42,N,N,N
43,N,N,N
44,N,N,N
45,N,N,N
46,N,N,N
47,N,N,N
48,N,N,N
49,N,N,N
50,N,N,N
51,N,N,N
52,N,N,N
53,N,N,N
54,N,N,N
55,N,N,N
56,N,N,N
57,N,N,N
58,N,N,N
59,N,N,N
60,N,N,N
61,N,N,N
62,N,N,N
63,N,N,N
64,N,N,N
65,N,N,N
66,N,N,N
67,N,N,N
68,N,N,N
69,N,N,N
70,N,N,N
71,N,N,N
72,N,N,N
73,N,N,N
74,N,N,N
75,N,N,N
76,E,E,E
77,N,N,N
78,N,N,N
79,N,N,N
80,N,N,N
81,N,N,N
82,N,N,N
83,N,N,N
84,N,N,N
85,N,N,N
86,N,N,N
87,N,N,N
88,N,N,N
89,N,N,N
90,N,N,N
91,N,N,N
92,N,N,N
93,N,N,N
94,N,N,N
95,N,N,N
96,N,N,N
97,N,N,N
98,N,N,N
99,N,N,N
100,N,N,N
101,N,N,N
102,N,N,N
103,N,N,N
104,N,N,N
105,N,N,N
106,N,N,N
107,N,N,N
108,N,N,N
109,N,N,N
110,N,N,N
111,N,N,N
112,N,N,N
113,N,N,N
114,N,N,N
115,N,N,N
116,N,N,N
117,N,N,N
118,N,N,N
119,N,N,N
120,N,N,N
121,N,N,N
122,N,N,N
123,N,N,N
124,N,N,N
125,E,N,E
126,N,N,N
127,N,N,N
128,N,N,N
129,N,N,N
130,E,E,E
131,N,N,N
132,N,N,N
133,N,N,N
134,N,N,N
135,N,N,N
136,N,N,N
137,N,N,N
138,N,N,N
139,N,N,N
140,N,N,N
141,N,N,N
142,N,N,N
143,N,N,N
144,N,N,N
145,N,N,N
146,N,N,N
147,N,N,N
148,N,N,N
149,N,N,N
150,N,N,N
151,N,N,N
152,N,N,N
153,N,N,N
154,N,N,N
155,N,N,N
156,N,N,N
157,N,N,N
158,N,N,N
159,N,N,N
160,N,N,N
161,N,N,N
162,N,N,N
163,N,N,N
164,N,N,N
165,N,N,N
166,N,N,N
167,N,N,N
168,N,N,N
169,N,N,N
170,N,N,N
171,N,N,N
172,N,N,N
173,N,N,N
174,N,N,N
175,N,N,N
176,N,N,N
177,N,N,N
178,N,N,N
179,N,N,N
180,N,N,E
181,N,N,N
182,N,N,N
183,N,N,N
184,N,N,N
185,N,N,N
186,N,N,s
187,N,N,N
188,N,N,N
189,N,N,N
190,S,P,p
191,E,N,N
192,N,N,N
193,N,N,E
194,N,N,N
195,N,N,N
196,N,N,N
197,N,N,N
198,S,N,s
199,N,N,N
200,E,E,E
